model,response_time,score,hallucination_score,answer_relevance,usefulness,context_precision,context_recall
deepseek-r1:1.5b,2.879044585987261,3.1974522292993632,0.943312101910828,0.5920382165605096,0.5159235668789809,0.19745222929936307,0.21210191082802546
deepseek-r1:32b,20.9259872611465,3.2802547770700636,0.8101910828025478,0.674203821656051,0.6477707006369426,0.22165605095541405,0.2573248407643312
llama3.2:1b,0.6997452229299364,2.5987261146496814,0.9350318471337581,0.38598726114649684,0.42038216560509556,0.17834394904458598,0.16560509554140126
llama3.2:latest,0.6819108280254778,3.840764331210191,0.8560509554140128,0.3869426751592357,0.4152866242038217,0.19745222929936307,0.18089171974522295
mistral-small:24b,3.3829299363057324,2.6496815286624202,0.930891719745223,0.48439490445859873,0.5668789808917197,0.21910828025477705,0.18980891719745224
phi3.5:latest,2.8205095541401275,0.8471337579617835,0.9980891719745222,0.12898089171974522,0.08789808917197453,0.025477707006369428,0.05031847133757962
phi4:latest,3.20828025477707,5.936305732484076,0.8729299363057326,0.5901273885350319,0.7146496815286625,0.2267515923566879,0.24203821656050956
qwen2.5:0.5b,0.6610191082802548,2.624203821656051,0.9140127388535032,0.46496815286624205,0.4789808917197452,0.17197452229299362,0.18471337579617833
qwen2.5:1.5b,0.7330573248407644,3.2738853503184715,0.8121019108280255,0.44617834394904454,0.4636942675159236,0.19235668789808918,0.17834394904458598
qwen2.5:3b,1.109299363057325,2.2356687898089174,0.9,0.5076433121019108,0.5923566878980892,0.21146496815286625,0.20382165605095542
qwen2.5:7b,1.8689808917197452,3.8089171974522293,0.8490445859872612,0.606687898089172,0.7025477707006369,0.24585987261146497,0.2426751592356688
smollm:1.7b,2.0487261146496816,2.4076433121019107,0.9904458598726115,0.4694267515923567,0.5070063694267517,0.11210191082802548,0.15350318471337582
smollm:135m,1.8895973154362418,1.7919463087248322,0.9899328859060402,0.32046979865771813,0.2577181208053691,0.08456375838926175,0.14026845637583893
smollm:360m,1.6068589743589743,2.519230769230769,0.9903846153846154,0.3782051282051282,0.36025641025641025,0.08461538461538462,0.13333333333333333
